Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_16;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/get_job_progress.cpp;125;128
[CODE-MAX]_16;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;256;260
[CODE-MAX]_16;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;96;101
[CODE-MAX]_16;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;162;167
[CODE-MAX]_16;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;230;235
[CODE-MAX]_16;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;538;542
[CODE-MAX]_16;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;565;569
[CODE-MAX]_17;38;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;58;63
[CODE-MAX]_17;38;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;171;176
[CODE-MAX]_17;38;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;47;52
[CODE-MAX]_17;38;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;52;57
[CODE-MAX]_17;38;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;133;138
[CODE-MAX]_17;38;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;195;200
[CODE-MAX]_18;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;157;160
[CODE-MAX]_18;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;168;171
[CODE-MAX]_18;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;180;183
[CODE-MAX]_18;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;192;195
