Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_25;51;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;416;427
[CODE-MAX]_26;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/QueryProxy.hpp;185;195
[CODE-MAX]_26;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/sessionUtils.cpp;49;60
[CODE-MAX]_27;46;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;196;206
[CODE-MAX]_27;46;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;328;338
[CODE-MAX]_28;12;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/DbConfiguration.hpp;45;57
[CODE-MAX]_28;12;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/Options.cpp;25;33
[CODE-MAX]_29;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;176;181
[CODE-MAX]_29;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;224;228
[CODE-MAX]_29;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;247;251
[CODE-MAX]_29;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;295;299
[CODE-MAX]_30;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;299;305
[CODE-MAX]_30;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;416;422
[CODE-MAX]_30;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;446;452
[CODE-MAX]_31;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/Options.hpp;165;175
[CODE-MAX]_31;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/Options.hpp;201;210
[CODE-MAX]_32;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/database/POSTGREDatabase.cpp;59;61
[CODE-MAX]_32;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/cliUtil.cpp;49;53
[CODE-MAX]_32;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilClient.cpp;38;40
[CODE-MAX]_32;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilClient.cpp;40;42
[CODE-MAX]_32;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilClient.cpp;42;44
[CODE-MAX]_32;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilServer.cpp;331;333
[CODE-MAX]_33;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;331;335
